EdgeID,SourceType,SourceID,Relationship,TargetType,TargetID,Confidence,Status
EDGE-000001,Observation,OBS-000003,belongs_to,Campaign,CAMPAIGN-000002,HIGH,ACTIVE
EDGE-000002,Campaign,CAMPAIGN-000002,contains,Branch,BR-000002,HIGH,ACTIVE
EDGE-000003,Branch,BR-000002,admits,Source,SRC-000001,HIGH,ACTIVE
EDGE-000004,Source,SRC-000001,supports,Observation,OBS-000003,HIGH,ACTIVE
EDGE-000005,Campaign,CAMPAIGN-000002,contains,Branch,BR-000003,HIGH,ACTIVE
EDGE-000006,Branch,BR-000003,admits,Source,SRC-000002,HIGH,ACTIVE
EDGE-000007,Source,SRC-000002,defines,Entity,LEG-000001,HIGH,ACTIVE
EDGE-000008,Campaign,CAMPAIGN-000002,contains,Branch,BR-000004,HIGH,ACTIVE
EDGE-000009,Branch,BR-000004,admits,Source,SRC-000003,HIGH,ACTIVE
EDGE-000010,Source,SRC-000003,describes,Entity,ORG-000005,HIGH,ACTIVE
EDGE-000011,Entity,ORG-000005,implements,Entity,LEG-000001,HIGH,ACTIVE
EDGE-000012,Entity,ORG-000005,coordinates,Entity,ORG-000006,HIGH,ACTIVE
EDGE-000013,Entity,ORG-000005,works_with,Entity,ORG-000007,HIGH,ACTIVE
EDGE-000014,Entity,ORG-000005,works_with,Entity,ORG-000008,HIGH,ACTIVE
